Vinho;Provador;Fruto_citrino;Fruto_arvore;Fruto_tropical;Fruto_seco;Floral;Vegetal_fresco;Vegetal_seco;Melado;Mineral;Gas_carbonico;Docura;Acidez;Calor;Amargor;Adstrigencia;Estrutura;Equilibrio;Persistencia;Limpidez;Cor;Intensidade;Qualidade_cor;Evolucao
A;1;3;0;0;0;3;0;0;0;0;0;3;3;3;1;1;3;3;3;limpido;citrino;media;3;lig_evoluido
A;1;3;3;0;0;3;0;0;0;0;0;2;3;2;3;1;3;3;0;limpido;citrino;media;3;lig_evoluido
A;1;3;0;3;0;3;0;0;0;0;0;3;2;3;2;0;3;3;3;limpido;citrino;media;3;lig_evoluido
A;2;1;1;1;2;0;0;0;0;0;2;3;3;3;3;0;3;3;3;limpido;palha;media;2;evoluido
A;2;1;1;1;2;0;0;0;0;0;3;3;3;3;3;0;3;3;3;limpido;palha;media;2;
A;2;1;1;1;2;0;0;0;0;0;3;3;3;3;3;0;3;3;3;limpido;palha;media;2;
A;3;1;1;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;limpido;palha;forte;3;lig_evoluido
A;3;1;1;0;2;0;0;2;0;0;1;1;1;3;2;0;0;0;0;limpido;palha;forte;3;lig_evoluido
A;3;1;1;0;1;0;0;1;0;0;1;1;1;3;2;0;0;0;0;limpido;palha;forte;3;lig_evoluido
A;4;0;3;3;0;0;0;0;0;0;0;1;1;1;0;0;1;1;2;limpido;citrino;;;lig_evoluido
A;4;3;0;0;0;0;0;0;0;0;0;2;2;3;1;0;3;3;2;limpido;citrino;;;lig_evoluido
A;4;3;0;0;0;0;0;0;1;0;0;2;1;2;0;0;2;2;2;;;;;lig_evoluido
A;5;0;2;0;0;0;2;2;4;0;0;1;3;3;0;0;3;3;3;cristalino;citrino;forte;3;evoluido
A;5;3;2;0;0;0;3;0;1;0;0;1;3;3;0;0;3;3;3;cristalino;citrino;media;3;lig_evoluido
A;5;2;2;0;0;0;3;2;0;0;0;1;3;3;0;0;3;3;3;cristalino;citrino;media;3;lig_evoluido
A;6;0;0;0;0;0;0;2;4;0;2;1;3;3;2;0;3;3;3;limpido;palha;media;3;evoluido
A;6;0;0;0;0;0;0;1;1;0;0;1;3;3;1;0;3;3;2;limpido;citrino;media;3;lig_evoluido
A;6;0;1;0;0;0;0;1;0;0;0;1;2;3;2;0;2;2;2;limpido;palha;media;2;evoluido
B;1;4;0;0;0;3;0;0;0;0;0;3;3;4;1;1;4;4;4;limpido;citrino;media;3;lig_evoluido
B;1;1;0;1;1;1;0;0;0;0;2;2;3;2;4;0;2;2;3;lig_opalino;palha;fraca;2;evoluido
B;1;1;1;1;0;0;0;0;0;0;4;2;3;2;4;0;2;2;3;limpido;palha;media;2;evoluido
B;2;1;1;0;2;0;0;0;0;0;3;3;3;3;4;0;3;3;3;;palha;media;2;evoluido
B;2;1;1;0;3;0;0;0;0;0;4;3;3;3;4;0;3;3;3;limpido;palha;media;1;
B;2;0;0;0;4;0;0;0;0;0;4;3;3;3;4;0;3;3;3;limpido;palha;media;1;
B;3;1;1;1;1;0;0;1;2;2;1;0;0;0;3;0;0;0;0;limpido;palha;forte;3;evoluido
B;3;0;0;0;0;0;0;0;0;0;0;1;1;3;3;0;0;0;0;limpido;palha;;;evoluido
B;3;0;0;0;0;0;0;0;0;0;3;1;1;3;3;0;0;0;0;limpido;palha;forte;3;evoluido
B;4;0;0;4;0;0;0;0;0;0;0;1;1;1;0;0;1;2;2;limpido;citrino;;;lig_evoluido
B;4;0;0;4;4;0;0;0;0;0;0;2;1;3;1;0;3;3;4;;;;;evoluido
B;4;0;0;0;0;0;0;0;0;0;3;2;3;3;2;1;3;1;3;limpido;citrino;;;evoluido
B;5;3;2;0;0;0;2;2;0;0;0;1;3;3;0;0;3;3;3;cristalino;citrino;media;3;jovem
B;5;2;0;0;0;0;2;2;2;0;0;1;3;3;0;0;3;3;3;cristalino;citrino;media;3;lig_evoluido
B;5;1;0;0;0;0;2;2;0;0;2;1;3;3;0;0;3;3;3;cristalino;citrino;media;3;evoluido
B;6;0;0;0;0;0;0;2;0;0;1;1;3;3;2;0;3;3;3;limpido;palha;media;3;evoluido
B;6;0;0;0;0;0;0;2;0;0;1;1;3;2;3;2;2;2;2;lig_opalino;palha;fraca;2;lig_evoluido
B;6;0;1;0;0;0;0;1;2;0;2;1;3;2;2;1;2;2;2;limpido;palha;media;2;evoluido
C;1;3;0;0;0;3;0;0;0;0;0;3;3;3;1;1;3;3;3;limpido;citrino;media;3;lig_evoluido
C;1;3;0;0;0;3;0;0;0;0;0;2;3;3;3;1;3;3;3;;;media;3;lig_evoluido
C;1;3;0;0;0;3;0;0;0;0;0;3;2;3;2;0;3;3;3;limpido;citrino;media;3;lig_evoluido
C;2;1;1;1;2;0;0;0;0;0;4;3;3;3;4;0;3;3;3;limpido;palha;media;2;evoluido
C;2;1;1;1;2;0;0;0;0;0;3;3;3;3;3;0;3;3;3;limpido;palha;media;2;
C;2;1;1;1;2;0;0;0;0;0;3;3;3;3;3;0;3;3;3;cristalino;palha;media;3;
C;3;1;2;0;1;0;0;1;0;0;0;1;1;3;2;1;0;0;0;limpido;palha;forte;3;lig_evoluido
C;3;1;1;0;1;0;0;1;2;0;1;0;0;0;2;0;0;0;0;limpido;palha;forte;3;lig_evoluido
C;3;1;1;0;0;0;0;0;0;0;1;1;1;3;2;0;0;0;0;limpido;palha;forte;3;lig_evoluido
C;4;0;0;2;3;0;0;0;0;0;0;1;1;1;1;1;2;1;3;limpido;citrino;;;lig_evoluido
C;4;0;0;3;1;0;0;0;0;0;0;2;1;1;2;0;2;2;2;limpido;citrino;;;evoluido
C;4;4;0;0;0;0;0;0;0;0;0;1;1;1;0;0;2;2;2;limpido;citrino;;;lig_evoluido
C;5;0;2;0;0;0;2;2;3;0;0;1;3;3;0;0;3;3;3;cristalino;citrino;forte;3;evoluido
C;5;3;2;0;0;0;3;0;1;0;0;1;3;3;0;0;0;3;3;cristalino;citrino;media;3;lig_evoluido
C;5;2;2;0;0;0;3;2;0;0;0;1;3;3;0;0;3;3;3;cristalino;citrino;media;3;lig_evoluido
C;6;0;0;0;0;0;0;1;0;0;1;1;3;3;0;0;3;3;3;limpido;palha;fraca;3;lig_evoluido
C;6;0;2;0;0;0;0;0;1;0;0;1;3;3;1;0;3;3;3;limpido;citrino;fraca;2;lig_evoluido
C;6;0;2;0;1;0;0;0;1;0;0;1;3;3;1;0;3;2;3;limpido;palha;fraca;3;lig_evoluido
D;1;3;0;0;0;3;0;0;0;0;0;2;3;3;3;0;3;3;3;limpido;citrino;media;3;lig_evoluido
D;1;3;0;0;0;3;0;0;0;0;0;2;3;3;2;2;3;3;3;limpido;citrino;media;3;lig_evoluido
D;1;3;0;0;0;3;0;0;0;0;0;3;2;3;0;0;3;3;3;limpido;citrino;media;3;lig_evoluido
D;2;1;1;1;2;0;0;0;0;0;2;3;3;3;3;0;3;3;3;limpido;palha;media;2;
D;2;1;1;1;2;0;0;0;0;0;2;3;3;3;3;0;3;3;3;limpido;citrino;media;2;
D;2;1;1;1;2;0;0;0;0;0;2;3;3;3;2;0;3;3;3;limpido;palha;media;3;
D;3;1;1;0;1;0;0;0;0;0;0;1;1;3;2;0;0;0;0;limpido;palha;forte;3;lig_evoluido
D;3;1;1;0;0;0;0;0;2;0;1;0;0;0;2;0;0;0;0;limpido;palha;;;lig_evoluido
D;3;1;1;0;1;0;0;1;0;0;1;1;1;3;2;0;0;0;0;limpido;palha;forte;3;lig_evoluido
D;4;0;0;4;0;0;0;0;0;0;0;1;1;1;0;0;1;1;2;limpido;citrino;;;lig_evoluido
D;4;1;0;3;0;0;0;0;0;0;0;2;1;3;1;0;2;2;2;limpido;citrino;;;lig_evoluido
D;4;4;0;0;0;0;0;0;0;0;0;1;1;1;0;0;2;2;2;limpido;citrino;;;lig_evoluido
D;5;0;2;0;0;0;2;2;3;0;0;1;3;3;0;0;3;3;3;cristalino;citrino;forte;3;evoluido
D;5;3;2;0;0;0;3;0;0;0;0;1;3;3;0;0;3;3;3;cristalino;citrino;media;3;jovem
D;5;2;2;0;0;0;3;2;0;0;0;1;3;3;0;0;3;3;3;cristalino;citrino;media;3;lig_evoluido
D;6;0;2;0;0;0;0;1;0;0;0;1;3;3;0;0;3;3;3;limpido;citrino;fraca;4;lig_evoluido
D;6;0;1;0;0;0;0;2;0;0;0;1;3;3;1;1;3;2;2;limpido;palha;media;2;lig_evoluido
D;6;1;2;0;0;0;0;0;0;0;0;1;2;3;1;0;3;3;3;limpido;citrino;fraca;4;
E;1;3;0;0;0;3;0;0;0;0;0;3;3;3;3;1;3;3;3;limpido;citrino;;;lig_evoluido
E;1;3;3;0;0;3;0;0;0;0;0;2;3;3;3;1;3;3;3;limpido;citrino;media;3;lig_evoluido
E;1;3;0;0;0;3;0;0;0;0;0;3;2;3;0;0;3;3;3;limpido;citrino;media;3;lig_evoluido
E;2;2;2;1;1;0;0;0;0;0;2;3;3;3;2;0;3;3;3;limpido;palha;media;3;
E;2;2;2;2;1;0;0;0;0;0;1;3;3;3;2;0;3;3;3;limpido;palha;media;3;
E;2;1;1;1;2;0;0;0;0;0;2;3;3;3;3;0;3;3;3;limpido;palha;media;3;
E;3;1;1;0;1;1;0;1;0;0;0;0;0;0;2;0;0;0;0;limpido;palha;forte;3;lig_evoluido
E;3;1;1;0;2;0;0;2;0;0;1;1;1;3;2;0;0;0;0;limpido;palha;forte;3;lig_evoluido
E;3;1;1;0;2;0;0;2;0;0;2;1;1;3;2;0;0;0;0;limpido;palha;forte;3;lig_evoluido
E;4;0;0;3;4;0;0;0;0;0;0;1;1;2;1;0;2;2;2;limpido;citrino;;;lig_evoluido
E;4;3;0;4;0;0;0;0;0;0;0;2;1;3;1;0;3;3;3;limpido;citrino;;;lig_evoluido
E;4;3;0;0;0;0;0;0;0;0;0;2;1;2;1;0;3;3;3;limpido;citrino;;;lig_evoluido
E;5;3;0;0;0;0;2;2;1;0;0;1;3;3;0;0;3;3;3;cristalino;citrino;media;3;lig_evoluido
E;5;3;2;0;0;0;3;0;0;0;0;1;3;3;0;0;3;3;3;cristalino;citrino;media;3;jovem
E;5;2;2;0;0;0;3;2;0;0;0;1;3;3;0;0;0;3;3;cristalino;citrino;media;3;lig_evoluido
E;6;0;3;0;0;0;0;0;0;0;0;1;3;3;1;0;4;3;4;limpido;citrino;fraca;4;lig_evoluido
E;6;1;2;0;0;0;0;1;0;0;0;1;2;3;1;0;3;3;2;limpido;citrino;media;2;lig_evoluido
E;6;0;1;0;2;0;0;0;1;0;1;1;3;2;2;0;3;2;3;limpido;palha;;;lig_evoluido
F;1;2;0;0;0;1;0;0;0;0;2;2;3;2;2;0;2;2;3;;;;;evoluido
F;1;2;0;2;0;2;0;0;0;0;0;2;3;2;2;0;3;2;3;limpido;citrino;media;3;
F;1;3;0;0;0;3;0;0;0;0;0;3;2;3;2;0;3;3;3;limpido;citrino;media;3;lig_evoluido
F;2;1;1;0;3;0;0;0;0;0;4;3;3;3;4;3;3;3;3;limpido;palha;media;3;evoluido
F;2;0;0;0;3;0;0;0;0;0;4;3;3;3;4;0;3;3;3;limpido;palha;forte;1;
F;2;0;0;0;4;0;0;0;0;0;4;3;3;3;4;0;3;3;3;limpido;palha;;;
F;3;1;1;0;1;0;1;1;0;0;2;0;0;0;3;0;0;0;0;limpido;palha;forte;3;evoluido
F;3;0;0;0;0;0;0;0;0;0;3;1;1;3;3;0;0;0;0;limpido;palha;;;evoluido
F;3;0;0;0;0;0;0;0;0;0;3;1;1;3;3;0;0;0;0;limpido;palha;forte;3;evoluido
F;4;0;0;2;4;0;0;0;0;0;2;1;2;2;2;1;2;1;2;limpido;citrino;;;lig_evoluido
F;4;0;0;0;4;0;0;0;1;0;0;3;2;3;1;0;3;3;3;;;;;evoluido
F;4;0;0;4;3;0;0;0;0;0;4;1;0;1;2;1;2;2;2;limpido;citrino;;;evoluido
F;5;3;0;0;0;0;2;2;1;0;0;1;3;3;0;0;3;3;3;cristalino;citrino;media;3;lig_evoluido
F;5;3;0;0;0;0;2;2;2;0;0;1;3;3;0;0;3;3;3;cristalino;citrino;media;3;lig_evoluido
F;5;1;0;0;0;0;2;2;0;0;2;1;3;3;0;0;3;3;3;cristalino;citrino;media;3;evoluido
F;6;0;0;0;0;0;0;2;0;2;0;1;3;2;2;0;3;2;2;lig_opalino;palha;fraca;3;lig_evoluido
F;6;0;1;0;0;0;0;2;0;0;1;1;3;3;2;0;3;2;2;limpido;palha;media;2;lig_evoluido
F;6;0;2;0;2;0;0;0;1;0;1;1;3;3;2;0;3;2;2;limpido;palha;media;2;lig_evoluido
G;1;3;0;0;0;2;0;0;0;0;0;3;3;3;2;1;3;3;3;limpido;citrino;;;evoluido
G;1;3;0;0;0;3;0;0;0;0;0;3;2;3;2;1;3;3;3;limpido;citrino;media;3;lig_evoluido
G;1;3;0;2;0;2;0;0;0;0;0;2;2;2;2;0;2;2;0;limpido;citrino;media;3;lig_evoluido
G;2;2;2;2;1;0;0;0;0;0;1;3;3;3;1;0;3;3;3;limpido;palha;media;3;
G;2;1;1;1;0;0;0;0;0;0;1;3;3;3;2;0;3;3;3;limpido;palha;media;3;
G;2;1;1;1;2;0;0;0;0;0;1;3;3;3;2;0;3;3;3;limpido;palha;media;3;
G;3;3;2;2;1;1;1;0;0;0;0;1;1;3;1;0;1;2;3;limpido;palha;forte;3;jovem
G;3;2;2;1;0;1;1;0;0;0;0;1;1;3;1;0;0;0;0;limpido;palha;forte;3;jovem
G;3;1;2;1;0;0;1;0;0;0;0;1;1;3;1;0;0;0;0;limpido;palha;forte;3;jovem
G;4;0;0;4;3;0;0;0;0;0;0;1;1;1;0;0;1;1;1;limpido;citrino;;;jovem
G;4;4;0;0;0;0;0;0;0;0;0;2;3;3;1;0;3;3;2;limpido;citrino;;;lig_evoluido
G;4;0;0;4;4;0;0;0;0;0;0;2;0;2;0;0;3;3;3;limpido;citrino;;;lig_evoluido
G;5;3;2;0;0;0;3;0;0;0;0;1;3;3;0;0;3;3;3;cristalino;citrino;media;3;jovem
G;5;3;2;2;0;0;0;0;0;0;0;1;3;3;0;0;3;3;3;cristalino;citrino;forte;3;jovem
G;5;3;2;0;0;0;3;0;0;0;0;0;3;3;0;0;3;3;3;cristalino;citrino;media;3;jovem
G;6;1;2;0;0;0;0;0;0;0;0;1;3;3;1;0;3;3;3;limpido;citrino;;;lig_evoluido
G;6;0;2;0;0;0;0;0;2;0;1;1;2;3;1;0;3;3;2;lig_opalino;palha;fraca;3;lig_evoluido
G;6;2;1;1;0;0;0;0;1;0;0;1;3;3;1;0;3;3;3;limpido;palha;fraca;4;lig_evoluido
